# x y z horizontalRadius verticalRadius
-226.068 -231.179 2.10644 0.794158 1.19124
-68.329 -230.773 0.243289 0.478895 0.718343
116.697 -231.747 1.6904 2.63392 3.95088
41.5996 -224.645 1.17285 1.26704 1.90056
-42.1088 -224.145 0.559236 2.04584 3.06876
217.249 -230.684 0 3.31788 4.97682
-131.767 -228.687 0.163185 1.52384 2.28575
-91.598 -228.984 0.992338 5.37559 8.06338
-44.6835 -228.654 0 1.94528 2.91792
-4.487 -227.117 1.5418 3.25684 4.88526
37.9702 -226.77 1.36639 2.17524 3.26286
-125.523 -225.243 2.83512 2.52089 3.78134
1.4346 -225.977 0 1.12311 1.68466
51.9399 -224.456 0.438123 4.33658 6.50487
-137.739 -220.736 0.358393 1.56101 2.34151
-121.215 -223.265 3.09991 2.38848 3.58272
88.3465 -223.097 1.22411 4.09168 6.13752
25.9903 -221.752 2.21679 1.87015 2.80522
42.2246 -222.232 0 0.775899 1.16385
39.5835 -220.765 0 1.43669 2.15503
321.251 -220.689 0.428884 1.86246 2.7937
320.954 -239.01 0.38004 2.01762 3.02643
-144.05 -243.179 0.184139 5.07381 7.61071
-62.5469 -244.417 0.198816 4.91889 7.37833
-119.698 -244.016 0 6.22103 9.33155
-132.576 -240.803 1.4527 3.64716 5.47074
128.085 -241.893 0.767498 4.12656 6.18985
261.024 -240.723 0.311167 5.32468 7.98702
-205.101 -236.575 0.611971 2.51705 3.77557
6.0672 -236.759 0.652584 3.36933 5.05399
-174.971 -236.249 0.369697 2.77181 4.15771
-20.8628 -236.068 0.606518 1.56101 2.34151
-105.15 -235.073 2.21713 4.18177 6.27266
-16.899 -235.581 0.607304 1.31151 1.96726
-51.8125 -233.83 0 5.10198 7.65296
-71.7957 -234.086 0.16279 1.01589 1.52384
-68.6547 -233.92 0 1.44663 2.16994
28.2209 -233.274 0.59119 3.85726 5.78589
11.096 -205.434 0.549568 0.561554 0.842331
14.8636 -205.064 1.33408 0.987268 1.4809
-106.804 -194.811 1.01278 0.414735 0.622103
201.866 -199.384 0 3.12201 4.68302
-195.667 -201.672 0.217151 2.89326 4.33989
-57.4494 -203.295 0.27944 2.37041 3.55562
-52.4191 -202.235 0.903636 1.23263 1.84895
-30.0916 -202.208 0.242618 1.59731 2.39597
-97.0345 -201.529 1.04701 4.09868 6.14803
-188.24 -194.475 0 1.09729 1.64593
-144.746 -196.472 0.0799362 1.25567 1.88351
-141.32 -196.022 0.589797 1.26704 1.90056
-108.577 -196.521 0.14805 1.1358 1.7037
91.1401 -199.056 0.510816 5.28957 7.93435
-106.009 -198.036 1.55577 0.7572 1.1358
-51.6573 -197.853 0.947407 2.2011 3.30164
-15.6851 -196.807 0.0177284 1.78384 2.67577
-87.7404 -196.216 0 0.561554 0.842332
14.3089 -181.355 0 0.942706 1.41406
6.5078 -181.011 0 0.987268 1.4809
-179.747 -178.561 0.739487 0.775899 1.16385
141.446 -178.461 0.580803 0.414735 0.622103
287.129 -167.728 0 0.507945 0.761917
-205.517 -166.317 0.701488 1.42667 2.14001
-9.8229 -166.154 0.2729 1.87015 2.80522
-82.7275 -178.67 0 2.4183 3.62745
-220.099 -178.885 1.60916 3.74795 5.62192
-14.8828 -177.734 0.860495 4.21251 6.31876
206.928 -176.987 0 3.4074 5.1111
-138.36 -176.548 0.104347 0.67726 1.01589
-93.736 -176.265 0.550316 0.846575 1.26986
-167.022 -176.202 0 3.62745 5.44118
231.917 -176.149 0.725867 4.21931 6.32896
348.08 -174.689 0 4.29673 6.4451
-197.548 -173.937 0.930621 2.31535 3.47302
-191.726 -171.938 0 3.786 5.679
-184.627 -172.328 1.89692 1.60626 2.4094
251.11 -173.174 2.92738 3.58772 5.38158
269.719 -173.149 1.41923 1.36506 2.04759
-177.108 -172.245 0 3.58772 5.38158
-31.0923 -171.847 0 3.63929 5.45893
-6.5759 -171.842 0.102874 0.95779 1.43669
47.2729 -171.613 0.954985 4.06003 6.09005
135.025 -171.698 0 4.25651 6.38477
-164.156 -170.697 2.26481 3.01457 4.52185
356.991 -169.181 1.294 2.2967 3.44505
226.806 -170.206 0 0.911789 1.36768
24.1932 -169.784 0 5.41808 8.12712
-149.695 -169.363 3.27531 2.7196 4.0794
-201.81 -168.388 0.85135 1.35452 2.03178
-18.274 -168.032 1.52326 2.83318 4.24977
155.633 -167.83 0.851998 3.0711 4.60664
-180.197 -166.976 1.85258 3.06643 4.59964
232.529 -152.87 0 1.14835 1.72252
-40.0562 -152.442 0.024487 1.3859 2.07885
253.946 -146.161 0 0.414735 0.622103
-174.894 -151.081 0.165051 1.60626 2.4094
-37.2352 -151.223 0 1.17305 1.75957
-146.255 -150.882 0.202482 2.61755 3.92632
166.007 -150.552 0 1.93049 2.89573
142.142 -149.436 2.84157 5.35153 8.0273
153.158 -149.216 0.341624 3.24361 4.86541
268.838 -148.786 0.795484 5.53585 8.30377
83.5431 -149.267 0.0752221 2.74583 4.11874
126.198 -149.021 0.346 4.61209 6.91813
